fold,train_end,half_life,sharpe_ratio
0,2019-12-06,5.0,-1.3193685591308735
0,2019-12-06,10.0,-1.4225812299228682
0,2019-12-06,20.0,-0.8518180252951147
0,2019-12-06,40.0,-0.7525350036959242
0,2019-12-06,80.0,-1.083130255029469
1,2020-03-04,5.0,-1.4424016764760286
1,2020-03-04,10.0,-1.10369439269744
1,2020-03-04,20.0,-0.8286465737407206
1,2020-03-04,40.0,-0.8480116552620459
1,2020-03-04,80.0,-1.2569873022516753
2,2020-06-01,5.0,-0.932164186143644
2,2020-06-01,10.0,-0.7742828094361737
2,2020-06-01,20.0,-0.7101602342987007
2,2020-06-01,40.0,-0.5892968265843287
2,2020-06-01,80.0,-1.1493468034254237
3,2020-08-27,5.0,-0.5830566940507319
3,2020-08-27,10.0,-0.5792546767732238
3,2020-08-27,20.0,-0.43869915574106294
3,2020-08-27,40.0,-0.31747636427655335
3,2020-08-27,80.0,-0.7844188237616577
4,2020-11-24,5.0,-0.07588707234335261
4,2020-11-24,10.0,-0.23644273438083271
4,2020-11-24,20.0,-0.3752397337772378
4,2020-11-24,40.0,-0.5090161877659816
4,2020-11-24,80.0,-0.8045144939493687
5,2021-02-19,5.0,-0.21597019991688207
5,2021-02-19,10.0,-0.37386143190125676
5,2021-02-19,20.0,-0.6603743479299666
5,2021-02-19,40.0,-0.6528250278931813
5,2021-02-19,80.0,-1.2779669825167772
6,2021-05-19,5.0,-0.10613555833373872
6,2021-05-19,10.0,0.019787160050584698
6,2021-05-19,20.0,-0.4267358781725313
6,2021-05-19,40.0,-0.5467171036131327
6,2021-05-19,80.0,-1.0648455975046232
7,2021-08-16,5.0,-0.05951687474034986
7,2021-08-16,10.0,0.2452700592316711
7,2021-08-16,20.0,-0.06374126712727538
7,2021-08-16,40.0,-0.30831423533739344
7,2021-08-16,80.0,-0.5575035217432972
8,2021-11-11,5.0,0.3703918756131542
8,2021-11-11,10.0,0.49595948136083606
8,2021-11-11,20.0,0.23382566090634654
8,2021-11-11,40.0,-0.1044648339280376
8,2021-11-11,80.0,-0.03261613755761961
9,2022-02-08,5.0,0.30655317519471653
9,2022-02-08,10.0,0.01697361672395418
9,2022-02-08,20.0,-0.15280797329023685
9,2022-02-08,40.0,-0.5588337782172894
9,2022-02-08,80.0,-0.7835768717143056
10,2022-05-06,5.0,0.237512036007853
10,2022-05-06,10.0,0.15728159920690019
10,2022-05-06,20.0,-0.06501487775411713
10,2022-05-06,40.0,-0.44948658228365557
10,2022-05-06,80.0,-0.6232683571475879
11,2022-08-03,5.0,0.9275398200185844
11,2022-08-03,10.0,0.5130450168678977
11,2022-08-03,20.0,0.36397123034987516
11,2022-08-03,40.0,0.1075519153852968
11,2022-08-03,80.0,-0.17356673519224702
12,2022-10-31,5.0,0.10587424753590663
12,2022-10-31,10.0,0.3452277694799097
12,2022-10-31,20.0,0.3364104589932673
12,2022-10-31,40.0,-0.007005188688337682
12,2022-10-31,80.0,-0.3181218896469539
13,2023-01-26,5.0,0.7591388182305936
13,2023-01-26,10.0,0.926393799041571
13,2023-01-26,20.0,1.0898207293032336
13,2023-01-26,40.0,0.8807268136597776
13,2023-01-26,80.0,0.8568019694595556
14,2023-04-25,5.0,0.5745460705038341
14,2023-04-25,10.0,0.9512795259424576
14,2023-04-25,20.0,0.8066507894613333
14,2023-04-25,40.0,0.46488219603558745
14,2023-04-25,80.0,0.5027082681239851
15,2023-07-21,5.0,0.44433686488562635
15,2023-07-21,10.0,0.6577137721943837
15,2023-07-21,20.0,0.5187531403476586
15,2023-07-21,40.0,0.3428370845594899
15,2023-07-21,80.0,0.6494836829422914
