,Adaptive momentum,Fixed momentum (20d half-life),Buy and hold
2019-12-09,1.0,1.0,1.0139741671640963
2019-12-10,1.0,1.0,1.006266957654636
2019-12-11,1.0,1.0,0.9902323160284745
2019-12-12,1.0,1.0,0.9566628684319401
2019-12-13,1.0,1.0,0.9495281993637447
2019-12-16,1.0,1.0,0.9486206389082891
2019-12-17,1.0,1.0,0.9468076827032917
2019-12-18,1.0,1.0,0.9448325700933654
2019-12-19,1.0,1.0,0.925574998143916
2019-12-20,1.0,1.0,0.9241017956864819
2019-12-23,1.0,1.0,0.9230894234002197
2019-12-24,1.0,1.0,0.9444060675089213
2019-12-25,1.0,1.0,0.9762878118111611
2019-12-26,1.0,1.0,0.97349396898743
2019-12-27,1.0,1.0,0.9597742710465161
2019-12-30,1.0,1.0,0.9582689159368148
2019-12-31,1.0,1.0,0.9474661978204099
2020-01-01,1.0,1.0,0.934514789156653
2020-01-02,1.0,1.0,0.9331554030936123
2020-01-03,1.0,1.0,0.9154285076460665
2020-01-06,1.0,1.0,0.9251003254145059
2020-01-07,1.0,1.0,0.9230022864127279
2020-01-08,1.0,1.0,0.9267945028120154
2020-01-09,1.0,1.0,0.9233782361399727
2020-01-10,1.0,1.0,0.9110049770059592
2020-01-13,1.0,1.0,0.8952339568383082
2020-01-14,1.0,1.0,0.8910620984973955
2020-01-15,1.0,1.0,0.8819509429764093
2020-01-16,1.0,1.0,0.8853177837597094
2020-01-17,1.0,1.0,0.8848931361393271
2020-01-20,1.0,1.0,0.8631127799332602
2020-01-21,1.0,1.0,0.8638106152969406
2020-01-22,1.0,1.0,0.8428441470880709
2020-01-23,1.0,1.0,0.833209794627184
2020-01-24,1.0,1.0,0.8284753631944363
2020-01-27,1.0,1.0,0.7977794499830515
2020-01-28,1.0,1.0,0.7987750085771541
2020-01-29,1.0,1.0,0.8006284767121853
2020-01-30,1.0,1.0,0.7980350985736532
2020-01-31,1.0,1.0,0.7916464326792798
2020-02-03,1.0,1.0,0.786026103840822
2020-02-04,1.0,1.0,0.7720214174386627
2020-02-05,1.0,1.0,0.7679753880167943
2020-02-06,1.0,1.0,0.7600701056616368
2020-02-07,1.0,1.0,0.7610210438620618
2020-02-10,1.0,1.0,0.7444059820270743
2020-02-11,1.0,1.0,0.7472704584699903
2020-02-12,1.0,1.0,0.7488997423513374
2020-02-13,1.0,1.0,0.7466951391468569
2020-02-14,1.0,1.0,0.7405190071880043
2020-02-17,1.0,1.0,0.7476189473452785
2020-02-18,1.0,1.0,0.7252602737938448
2020-02-19,1.0,1.0,0.7310038663447822
2020-02-20,1.0,1.0,0.7339151505630774
2020-02-21,1.0,1.0,0.7373732407632014
2020-02-24,1.0,1.0,0.7421815005596948
2020-02-25,1.0,1.0,0.7332071178593192
2020-02-26,1.0,1.0,0.729498960348739
2020-02-27,1.0,1.0,0.7376172014201009
2020-02-28,1.0,1.0,0.7430597800562828
2020-03-02,1.0,1.0,0.7455314568381811
2020-03-03,1.0,1.0,0.7251942605334739
2020-03-04,1.0,1.0,0.7319568269130641
2020-03-05,1.0,1.0,0.747229233678127
2020-03-06,1.0,1.0,0.7606292850567777
2020-03-09,1.0,1.0,0.7635326613540265
2020-03-10,1.0,1.0,0.7421249961021812
2020-03-11,1.0,1.0,0.7545212891114839
2020-03-12,1.0,1.0,0.7522230661886833
2020-03-13,1.0,1.0,0.7184151152091998
2020-03-16,1.0,1.0,0.7230202934240026
2020-03-17,1.0,1.0,0.703577615438625
2020-03-18,1.0,1.0,0.687074183079405
2020-03-19,1.0,1.0,0.6789944865180113
2020-03-20,1.0,1.0,0.6944496412211556
2020-03-23,1.0,1.0,0.6895536004458591
2020-03-24,1.0,1.0,0.6926482405499195
2020-03-25,1.0,1.0,0.7145019340872117
2020-03-26,1.0,1.0,0.7350056895035889
2020-03-27,1.0,1.0,0.7333461871959736
2020-03-30,1.0,1.0,0.7298729662195776
2020-03-31,1.0,1.0,0.7132092308072882
2020-04-01,1.0,1.0,0.7040677472189985
2020-04-02,1.0,1.0,0.7091953614430679
2020-04-03,1.0,1.0,0.7139794549479087
2020-04-06,1.0,1.0,0.715111500652194
2020-04-07,1.0,1.0,0.727740774163867
2020-04-08,1.0,1.0,0.7174062528909083
2020-04-09,1.0,1.0,0.7163958689311803
2020-04-10,1.0,1.0,0.725597372414285
2020-04-13,1.0,1.0,0.7329737605067594
2020-04-14,1.0,1.0,0.7469415440674878
2020-04-15,1.0,1.0,0.7519977223325639
2020-04-16,1.0,1.0,0.747522233870934
2020-04-17,1.0,1.0,0.7521106919174109
2020-04-20,1.0,1.0,0.7383639027899214
2020-04-21,1.0,1.0,0.7166062512462403
2020-04-22,1.0,1.0,0.7238459694476174
2020-04-23,1.0,1.0,0.7228386966114131
2020-04-24,1.0,1.0,0.7265719159030944
2020-04-27,1.0,1.0,0.704423085315406
2020-04-28,1.0,1.0,0.6995288917335907
