fold,train_start,train_end,test_start,test_end,selected_half_life,training_sharpe_ratio
0,2018-01-02,2019-12-06,2019-12-09,2020-03-04,40.0,-0.7525350036959242
1,2018-03-30,2020-03-04,2020-03-05,2020-06-01,20.0,-0.8286465737407206
2,2018-06-27,2020-06-01,2020-06-02,2020-08-27,40.0,-0.5892968265843287
3,2018-09-24,2020-08-27,2020-08-28,2020-11-24,40.0,-0.31747636427655335
4,2018-12-20,2020-11-24,2020-11-25,2021-02-19,5.0,-0.07588707234335261
5,2019-03-19,2021-02-19,2021-02-22,2021-05-19,5.0,-0.21597019991688207
6,2019-06-14,2021-05-19,2021-05-20,2021-08-16,10.0,0.019787160050584698
7,2019-09-11,2021-08-16,2021-08-17,2021-11-11,10.0,0.2452700592316711
8,2019-12-09,2021-11-11,2021-11-12,2022-02-08,10.0,0.49595948136083606
9,2020-03-05,2022-02-08,2022-02-09,2022-05-06,5.0,0.30655317519471653
10,2020-06-02,2022-05-06,2022-05-09,2022-08-03,5.0,0.237512036007853
11,2020-08-28,2022-08-03,2022-08-04,2022-10-31,5.0,0.9275398200185844
12,2020-11-25,2022-10-31,2022-11-01,2023-01-26,10.0,0.3452277694799097
13,2021-02-22,2023-01-26,2023-01-27,2023-04-25,20.0,1.0898207293032336
14,2021-05-20,2023-04-25,2023-04-26,2023-07-21,10.0,0.9512795259424576
15,2021-08-17,2023-07-21,2023-07-24,2023-10-02,10.0,0.6577137721943837
