,price_a,price_b,return_a,return_b,hedge_ratio,intercept,z_score,target_state,state,target_weight_a,target_weight_b,weight_a,weight_b,gross_exposure,turnover,transaction_cost,gross_strategy_return,net_strategy_return,strategy_growth
2018-01-02,95.0210567034359,100.0211093657349,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-03,96.11013135184497,100.31045905075577,0.011461403253050673,0.002892886180284604,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-04,95.70544845962463,100.08328871775883,-0.00421061636820419,-0.002264672449380223,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0
2018-01-05,95.29332190741367,99.30415369740467,-0.004306197388384114,-0.0077848662882309405,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0
2018-01-08,94.96580385199475,98.91840940283497,-0.003436946565228749,-0.0038844729067942785,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0
2018-01-09,94.75287171226798,98.05911821649762,-0.002242198044873356,-0.008686868213155008,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0
2018-01-10,94.76766274231251,98.13183564698471,0.00015610112682873378,0.0007415672485096003,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-11,97.3289567459439,99.34252961121072,0.027027088455224835,0.01233742298046181,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-12,97.21122965098594,98.92321220321476,-0.0012095793368591679,-0.004220925414694099,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0
2018-01-15,96.9189385530163,98.39201385607535,-0.0030067626859473506,-0.005369804874999273,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0
2018-01-16,97.65210434776226,98.84650765168936,0.0075647319883194175,0.00461921428174894,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-17,96.07519378598357,99.18434628476516,-0.01614824966969408,0.003417810513510977,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-18,95.8870047555252,99.29834761014057,-0.001958768159006641,0.001149388281978636,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-19,94.67732489386653,98.48997025084645,-0.012615680975152865,-0.008140894372864249,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0
2018-01-22,94.83553949653255,98.48373934188466,0.0016710928709000594,-6.326440089210461e-05,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-23,93.8560206649747,99.12177854158945,-0.010328605043615213,0.0064786248366326404,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-24,94.54251601030717,97.94942260220968,0.007314345318165216,-0.011827430425775387,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-25,94.17664071726624,97.56635471456279,-0.0038699551110004116,-0.003910874382614726,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0
2018-01-26,91.09017335657595,95.93028243886491,-0.032773173232589325,-0.016768816263396658,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0
